"Lake_ID","Sample1","Sample2","Date1","Date2","TimeDiff_days","predator","nutrients","distance","component","month1","timepoint1","timepoint2","timePointsApart","monthsApart","isConsecutive","deltaCategory"
"L1","L1_0.45_April22","L1_0.45_May22",2022-04-21,2022-05-19,28,"0","1",0.563636363636364,"Total (SOR)",4,1,2,1,1,TRUE,"delta_1"
"L1","L1_0.45_May22","L1_0.45B_June22",2022-05-19,2022-06-23,35,"0","1",0.523809523809524,"Total (SOR)",5,2,3,1,1,TRUE,"delta_1"
"L1","L1_0.45B_June22","L1_0.45_July22",2022-06-23,2022-07-21,28,"0","1",0.463917525773196,"Total (SOR)",6,3,4,1,1,TRUE,"delta_1"
"L1","L1_0.45_July22","L1_0.45_Aug22",2022-07-21,2022-08-18,28,"0","1",0.571428571428571,"Total (SOR)",7,4,5,1,1,TRUE,"delta_1"
"L1","L1_0.45_Aug22","L1_0.45_Sept22",2022-08-18,2022-09-22,35,"0","1",0.479166666666667,"Total (SOR)",8,5,6,1,1,TRUE,"delta_1"
"L1","L1_0.45_Sept22","L1_0.45_Oct22",2022-09-22,2022-10-21,29,"0","1",0.372881355932203,"Total (SOR)",9,6,7,1,1,TRUE,"delta_1"
"L1","L1_0.45_Oct22","L1_0.45_Nov22",2022-10-21,2022-11-18,28,"0","1",0.4,"Total (SOR)",10,7,8,1,1,TRUE,"delta_1"
"L1","L1_0.45_Nov22","L1_0.45_Dec22",2022-11-18,2022-12-15,27,"0","1",0.446808510638298,"Total (SOR)",11,8,9,1,1,TRUE,"delta_1"
"L1","L1_0.45_Dec22","L1_0.45_Janv23",2022-12-15,2023-01-25,41,"0","1",0.272727272727273,"Total (SOR)",12,9,10,1,1,TRUE,"delta_1"
"L1","L1_0.45_Janv23","L1_0.45_Feb23",2023-01-25,2023-02-21,27,"0","1",0.228070175438596,"Total (SOR)",1,10,11,1,1,TRUE,"delta_1"
"L1","L1_0.45_Feb23","L1_0.45_March23",2023-02-21,2023-03-28,35,"0","1",0.229508196721311,"Total (SOR)",2,11,12,1,1,TRUE,"delta_1"
"L1","L1_0.45_March23","L1_0.45_Apr23",2023-03-28,2023-05-03,36,"0","1",0.54,"Total (SOR)",3,12,13,1,1,TRUE,"delta_1"
"L10","L10_0.45B_April22","L10_0.45_May22",2022-04-21,2022-05-19,28,"1","0",0.592592592592593,"Total (SOR)",4,1,2,1,1,TRUE,"delta_1"
"L10","L10_0.45_May22","L10_0.45_June22",2022-05-19,2022-06-23,35,"1","0",0.67032967032967,"Total (SOR)",5,2,3,1,1,TRUE,"delta_1"
"L10","L10_0.45_June22","L10_0.45_July22",2022-06-23,2022-07-21,28,"1","0",0.5,"Total (SOR)",6,3,4,1,1,TRUE,"delta_1"
"L10","L10_0.45_July22","L10_0.45_Aug22",2022-07-21,2022-08-18,28,"1","0",0.535714285714286,"Total (SOR)",7,4,5,1,1,TRUE,"delta_1"
"L10","L10_0.45_Aug22","L10_0.45_Sept22",2022-08-18,2022-09-22,35,"1","0",0.647058823529412,"Total (SOR)",8,5,6,1,1,TRUE,"delta_1"
"L10","L10_0.45_Sept22","L10_0.45_Oct22",2022-09-22,2022-10-21,29,"1","0",0.390728476821192,"Total (SOR)",9,6,7,1,1,TRUE,"delta_1"
"L10","L10_0.45_Oct22","L10_0.45_Nov22",2022-10-21,2022-11-18,28,"1","0",0.767441860465116,"Total (SOR)",10,7,8,1,1,TRUE,"delta_1"
"L10","L10_0.45_Nov22","L10_0.45_Dec22",2022-11-18,2022-12-15,27,"1","0",0.172413793103448,"Total (SOR)",11,8,9,1,1,TRUE,"delta_1"
"L10","L10_0.45_Dec22","L10_0.45_Janv23",2022-12-15,2023-01-25,41,"1","0",0.545454545454545,"Total (SOR)",12,9,10,1,1,TRUE,"delta_1"
"L10","L10_0.45_Janv23","L10_0.45_Feb23",2023-01-25,2023-02-21,27,"1","0",0.32258064516129,"Total (SOR)",1,10,11,1,1,TRUE,"delta_1"
"L10","L10_0.45_Feb23","L10_0.45_March23",2023-02-21,2023-03-28,35,"1","0",0.434782608695652,"Total (SOR)",2,11,12,1,1,TRUE,"delta_1"
"L10","L10_0.45_March23","L10_0.45_Apr23",2023-03-28,2023-05-03,36,"1","0",0.309734513274336,"Total (SOR)",3,12,13,1,1,TRUE,"delta_1"
"L11","L11_0.45_April22","L11_0.45_May22",2022-04-21,2022-05-19,28,"0","1",0.474576271186441,"Total (SOR)",4,1,2,1,1,TRUE,"delta_1"
"L11","L11_0.45_May22","L11_0.45_June22",2022-05-19,2022-06-23,35,"0","1",0.417322834645669,"Total (SOR)",5,2,3,1,1,TRUE,"delta_1"
"L11","L11_0.45_June22","L11_0.45_July22",2022-06-23,2022-07-21,28,"0","1",0.485714285714286,"Total (SOR)",6,3,4,1,1,TRUE,"delta_1"
"L11","L11_0.45_July22","L11_0.45_Aug22",2022-07-21,2022-08-18,28,"0","1",0.478260869565217,"Total (SOR)",7,4,5,1,1,TRUE,"delta_1"
"L11","L11_0.45_Aug22","L11_0.45B_Sept22",2022-08-18,2022-09-22,35,"0","1",0.5625,"Total (SOR)",8,5,6,1,1,TRUE,"delta_1"
"L11","L11_0.45B_Sept22","L11_0.45_Oct22",2022-09-22,2022-10-21,29,"0","1",0.443708609271523,"Total (SOR)",9,6,7,1,1,TRUE,"delta_1"
"L11","L11_0.45_Oct22","L11_0.45_Nov22",2022-10-21,2022-11-18,28,"0","1",0.42,"Total (SOR)",10,7,8,1,1,TRUE,"delta_1"
"L11","L11_0.45_Nov22","L11_0.45_Dec22",2022-11-18,2022-12-15,27,"0","1",0.388235294117647,"Total (SOR)",11,8,9,1,1,TRUE,"delta_1"
"L11","L11_0.45_Dec22","L11_0.45_Janv23",2022-12-15,2023-01-25,41,"0","1",0.5,"Total (SOR)",12,9,10,1,1,TRUE,"delta_1"
"L11","L11_0.45_Janv23","L11_0.45_Feb23",2023-01-25,2023-02-21,27,"0","1",0.485714285714286,"Total (SOR)",1,10,11,1,1,TRUE,"delta_1"
"L11","L11_0.45_Feb23","L11_0.45_March23",2023-02-21,2023-03-28,35,"0","1",0.388888888888889,"Total (SOR)",2,11,12,1,1,TRUE,"delta_1"
"L11","L11_0.45_March23","L11_0.45_Apr23",2023-03-28,2023-05-03,36,"0","1",0.260869565217391,"Total (SOR)",3,12,13,1,1,TRUE,"delta_1"
"L12","L12_0.45_April22","L12_0.45_May22",2022-04-21,2022-05-19,28,"0","0",0.518518518518518,"Total (SOR)",4,1,2,1,1,TRUE,"delta_1"
"L12","L12_0.45_May22","L12_0.45_June22",2022-05-19,2022-06-23,35,"0","0",0.565217391304348,"Total (SOR)",5,2,3,1,1,TRUE,"delta_1"
"L12","L12_0.45_June22","L12_0.45_July22",2022-06-23,2022-07-21,28,"0","0",0.583333333333333,"Total (SOR)",6,3,4,1,1,TRUE,"delta_1"
"L12","L12_0.45_July22","L12_0.45_Aug22",2022-07-21,2022-08-18,28,"0","0",0.63855421686747,"Total (SOR)",7,4,5,1,1,TRUE,"delta_1"
"L12","L12_0.45_Aug22","L12_0.45_Monthly_Sept22",2022-08-18,2022-09-22,35,"0","0",0.378151260504202,"Total (SOR)",8,5,6,1,1,TRUE,"delta_1"
"L12","L12_0.45_Monthly_Sept22","L12_0.45_Oct22",2022-09-22,2022-10-21,29,"0","0",0.319727891156463,"Total (SOR)",9,6,7,1,1,TRUE,"delta_1"
"L12","L12_0.45_Oct22","L12_0.45_Nov22",2022-10-21,2022-11-18,28,"0","0",0.564516129032258,"Total (SOR)",10,7,8,1,1,TRUE,"delta_1"
"L12","L12_0.45_Nov22","L12_0.45B_Dec22",2022-11-18,2022-12-15,27,"0","0",0.411764705882353,"Total (SOR)",11,8,9,1,1,TRUE,"delta_1"
"L12","L12_0.45B_Dec22","L12_0.45_Janv23",2022-12-15,2023-01-25,41,"0","0",0.392405063291139,"Total (SOR)",12,9,10,1,1,TRUE,"delta_1"
"L12","L12_0.45_Janv23","L12_0.45_Feb23",2023-01-25,2023-02-21,27,"0","0",0.288135593220339,"Total (SOR)",1,10,11,1,1,TRUE,"delta_1"
"L12","L12_0.45_Feb23","L12_0.45_March23",2023-02-21,2023-03-28,35,"0","0",0.7,"Total (SOR)",2,11,12,1,1,TRUE,"delta_1"
"L12","L12_0.45_March23","L12_0.45_Apr23",2023-03-28,2023-05-03,36,"0","0",0.739130434782609,"Total (SOR)",3,12,13,1,1,TRUE,"delta_1"
"L2","L2_0.45_April22","L2_0.45_May22",2022-04-21,2022-05-19,28,"0","0",0.585365853658537,"Total (SOR)",4,1,2,1,1,TRUE,"delta_1"
"L2","L2_0.45_May22","L2_0.45_June22",2022-05-19,2022-06-23,35,"0","0",0.595505617977528,"Total (SOR)",5,2,3,1,1,TRUE,"delta_1"
"L2","L2_0.45_June22","L2_0.45_July22",2022-06-23,2022-07-21,28,"0","0",0.531914893617021,"Total (SOR)",6,3,4,1,1,TRUE,"delta_1"
"L2","L2_0.45_July22","L2_0.45_Aug22",2022-07-21,2022-08-18,28,"0","0",0.582089552238806,"Total (SOR)",7,4,5,1,1,TRUE,"delta_1"
"L2","L2_0.45_Aug22","L2_0.45_Sept22",2022-08-18,2022-09-22,35,"0","0",0.287958115183246,"Total (SOR)",8,5,6,1,1,TRUE,"delta_1"
"L2","L2_0.45_Sept22","L2_0.45B_Oct22",2022-09-22,2022-10-21,29,"0","0",0.292134831460674,"Total (SOR)",9,6,7,1,1,TRUE,"delta_1"
"L2","L2_0.45B_Oct22","L2_0.45_Nov22",2022-10-21,2022-11-18,28,"0","0",0.37888198757764,"Total (SOR)",10,7,8,1,1,TRUE,"delta_1"
"L2","L2_0.45_Nov22","L2_0.45B_Janv23",2022-11-18,2023-01-25,68,"0","0",0.375,"Total (SOR)",11,8,9,1,2,TRUE,"delta_2"
"L2","L2_0.45B_Janv23","L2_0.45_Feb23",2023-01-25,2023-02-21,27,"0","0",0.371900826446281,"Total (SOR)",1,9,10,1,1,TRUE,"delta_1"
"L2","L2_0.45_Feb23","L2_0.45_March23",2023-02-21,2023-03-28,35,"0","0",0.243243243243243,"Total (SOR)",2,10,11,1,1,TRUE,"delta_1"
"L2","L2_0.45_March23","L2_0.45_Apr23",2023-03-28,2023-05-03,36,"0","0",0.477272727272727,"Total (SOR)",3,11,12,1,1,TRUE,"delta_1"
"L3","L3_0.45_April22","L3_0.45_May22",2022-04-21,2022-05-19,28,"1","1",0.5,"Total (SOR)",4,1,2,1,1,TRUE,"delta_1"
"L3","L3_0.45_May22","L3_0.45_June22",2022-05-19,2022-06-23,35,"1","1",0.468085106382979,"Total (SOR)",5,2,3,1,1,TRUE,"delta_1"
"L3","L3_0.45_June22","L3_0.45_July22",2022-06-23,2022-07-21,28,"1","1",0.360824742268041,"Total (SOR)",6,3,4,1,1,TRUE,"delta_1"
"L3","L3_0.45_July22","L3_0.45_Aug22",2022-07-21,2022-08-18,28,"1","1",0.529411764705882,"Total (SOR)",7,4,5,1,1,TRUE,"delta_1"
"L3","L3_0.45_Aug22","L3_0.45_Sept22",2022-08-18,2022-09-22,35,"1","1",0.339130434782609,"Total (SOR)",8,5,6,1,1,TRUE,"delta_1"
"L3","L3_0.45_Sept22","L3_0.45_Oct22",2022-09-22,2022-10-21,29,"1","1",0.608695652173913,"Total (SOR)",9,6,7,1,1,TRUE,"delta_1"
"L3","L3_0.45_Oct22","L3_0.45_Nov22",2022-10-21,2022-11-18,28,"1","1",0.62406015037594,"Total (SOR)",10,7,8,1,1,TRUE,"delta_1"
"L3","L3_0.45_Nov22","L3_0.45_Dec22",2022-11-18,2022-12-15,27,"1","1",0.528571428571429,"Total (SOR)",11,8,9,1,1,TRUE,"delta_1"
"L3","L3_0.45_Dec22","L3_0.45_Janv23",2022-12-15,2023-01-25,41,"1","1",0.333333333333333,"Total (SOR)",12,9,10,1,1,TRUE,"delta_1"
"L3","L3_0.45_Janv23","L3_0.45_Feb23",2023-01-25,2023-02-21,27,"1","1",0.23728813559322,"Total (SOR)",1,10,11,1,1,TRUE,"delta_1"
"L3","L3_0.45_Feb23","L3_0.45_March23",2023-02-21,2023-03-28,35,"1","1",0.339622641509434,"Total (SOR)",2,11,12,1,1,TRUE,"delta_1"
"L3","L3_0.45_March23","L3_0.45B_Apr23",2023-03-28,2023-05-03,36,"1","1",0.6,"Total (SOR)",3,12,13,1,1,TRUE,"delta_1"
"L4","L4_0.45_April22","L4_0.45_May22",2022-04-21,2022-05-19,28,"1","0",0.428571428571429,"Total (SOR)",4,1,2,1,1,TRUE,"delta_1"
"L4","L4_0.45_May22","L4_0.45_June22",2022-05-19,2022-06-23,35,"1","0",0.444444444444444,"Total (SOR)",5,2,3,1,1,TRUE,"delta_1"
"L4","L4_0.45_June22","L4_0.45_July22",2022-06-23,2022-07-21,28,"1","0",0.45679012345679,"Total (SOR)",6,3,4,1,1,TRUE,"delta_1"
"L4","L4_0.45_July22","L4_0.45_Aug22",2022-07-21,2022-08-18,28,"1","0",0.478260869565217,"Total (SOR)",7,4,5,1,1,TRUE,"delta_1"
"L4","L4_0.45_Aug22","L4_0.45_Sept22",2022-08-18,2022-09-22,35,"1","0",0.584158415841584,"Total (SOR)",8,5,6,1,1,TRUE,"delta_1"
"L4","L4_0.45_Sept22","L4_0.45_Oct22",2022-09-22,2022-10-21,29,"1","0",0.414965986394558,"Total (SOR)",9,6,7,1,1,TRUE,"delta_1"
"L4","L4_0.45_Oct22","L4_0.45_Nov22",2022-10-21,2022-11-18,28,"1","0",0.384615384615385,"Total (SOR)",10,7,8,1,1,TRUE,"delta_1"
