"Lake_ID","Sample1","Sample2","Date1","Date2","TimeDiff_days","predator","nutrients","distance","component"
"L1","L1_0.45_April22","L1_0.45_May22",2022-04-21,2022-05-19,28,0,1,0.563636363636364,"Total (SOR)"
"L1","L1_0.45_April22","L1_0.45B_June22",2022-04-21,2022-06-23,63,0,1,0.582417582417582,"Total (SOR)"
"L1","L1_0.45_April22","L1_0.45_July22",2022-04-21,2022-07-21,91,0,1,0.588235294117647,"Total (SOR)"
"L1","L1_0.45_April22","L1_0.45_Aug22",2022-04-21,2022-08-18,119,0,1,0.6875,"Total (SOR)"
"L1","L1_0.45_April22","L1_0.45_Sept22",2022-04-21,2022-09-22,154,0,1,0.617021276595745,"Total (SOR)"
"L1","L1_0.45_April22","L1_0.45_Oct22",2022-04-21,2022-10-21,183,0,1,0.627906976744186,"Total (SOR)"
"L1","L1_0.45_April22","L1_0.45_Nov22",2022-04-21,2022-11-18,211,0,1,0.587301587301587,"Total (SOR)"
"L1","L1_0.45_April22","L1_0.45_Dec22",2022-04-21,2022-12-15,238,0,1,0.558441558441558,"Total (SOR)"
"L1","L1_0.45_April22","L1_0.45_Janv23",2022-04-21,2023-01-25,279,0,1,0.619047619047619,"Total (SOR)"
"L1","L1_0.45_April22","L1_0.45_Feb23",2022-04-21,2023-02-21,306,0,1,0.608695652173913,"Total (SOR)"
"L1","L1_0.45_April22","L1_0.45_March23",2022-04-21,2023-03-28,341,0,1,0.608695652173913,"Total (SOR)"
"L1","L1_0.45_April22","L1_0.45_Apr23",2022-04-21,2023-05-03,377,0,1,0.542857142857143,"Total (SOR)"
"L1","L1_0.45_May22","L1_0.45B_June22",2022-05-19,2022-06-23,35,0,1,0.523809523809524,"Total (SOR)"
"L1","L1_0.45_May22","L1_0.45_July22",2022-05-19,2022-07-21,63,0,1,0.60655737704918,"Total (SOR)"
"L1","L1_0.45_May22","L1_0.45_Aug22",2022-05-19,2022-08-18,91,0,1,0.649122807017544,"Total (SOR)"
"L1","L1_0.45_May22","L1_0.45_Sept22",2022-05-19,2022-09-22,126,0,1,0.632183908045977,"Total (SOR)"
"L1","L1_0.45_May22","L1_0.45_Oct22",2022-05-19,2022-10-21,155,0,1,0.670886075949367,"Total (SOR)"
"L1","L1_0.45_May22","L1_0.45_Nov22",2022-05-19,2022-11-18,183,0,1,0.697478991596639,"Total (SOR)"
"L1","L1_0.45_May22","L1_0.45_Dec22",2022-05-19,2022-12-15,210,0,1,0.657142857142857,"Total (SOR)"
"L1","L1_0.45_May22","L1_0.45_Janv23",2022-05-19,2023-01-25,251,0,1,0.636363636363636,"Total (SOR)"
"L1","L1_0.45_May22","L1_0.45_Feb23",2022-05-19,2023-02-21,278,0,1,0.694117647058824,"Total (SOR)"
"L1","L1_0.45_May22","L1_0.45_March23",2022-05-19,2023-03-28,313,0,1,0.647058823529412,"Total (SOR)"
"L1","L1_0.45_May22","L1_0.45_Apr23",2022-05-19,2023-05-03,349,0,1,0.492063492063492,"Total (SOR)"
"L1","L1_0.45B_June22","L1_0.45_July22",2022-06-23,2022-07-21,28,0,1,0.463917525773196,"Total (SOR)"
"L1","L1_0.45B_June22","L1_0.45_Aug22",2022-06-23,2022-08-18,56,0,1,0.634408602150538,"Total (SOR)"
"L1","L1_0.45B_June22","L1_0.45_Sept22",2022-06-23,2022-09-22,91,0,1,0.414634146341463,"Total (SOR)"
"L1","L1_0.45B_June22","L1_0.45_Oct22",2022-06-23,2022-10-21,120,0,1,0.565217391304348,"Total (SOR)"
"L1","L1_0.45B_June22","L1_0.45_Nov22",2022-06-23,2022-11-18,148,0,1,0.445161290322581,"Total (SOR)"
"L1","L1_0.45B_June22","L1_0.45_Dec22",2022-06-23,2022-12-15,175,0,1,0.509433962264151,"Total (SOR)"
"L1","L1_0.45B_June22","L1_0.45_Janv23",2022-06-23,2023-01-25,216,0,1,0.486725663716814,"Total (SOR)"
"L1","L1_0.45B_June22","L1_0.45_Feb23",2022-06-23,2023-02-21,243,0,1,0.520661157024793,"Total (SOR)"
"L1","L1_0.45B_June22","L1_0.45_March23",2022-06-23,2023-03-28,278,0,1,0.504132231404959,"Total (SOR)"
"L1","L1_0.45B_June22","L1_0.45_Apr23",2022-06-23,2023-05-03,314,0,1,0.515151515151515,"Total (SOR)"
"L1","L1_0.45_July22","L1_0.45_Aug22",2022-07-21,2022-08-18,28,0,1,0.571428571428571,"Total (SOR)"
"L1","L1_0.45_July22","L1_0.45_Sept22",2022-07-21,2022-09-22,63,0,1,0.5,"Total (SOR)"
"L1","L1_0.45_July22","L1_0.45_Oct22",2022-07-21,2022-10-21,92,0,1,0.521739130434783,"Total (SOR)"
"L1","L1_0.45_July22","L1_0.45_Nov22",2022-07-21,2022-11-18,120,0,1,0.560606060606061,"Total (SOR)"
"L1","L1_0.45_July22","L1_0.45_Dec22",2022-07-21,2022-12-15,147,0,1,0.518072289156627,"Total (SOR)"
"L1","L1_0.45_July22","L1_0.45_Janv23",2022-07-21,2023-01-25,188,0,1,0.511111111111111,"Total (SOR)"
"L1","L1_0.45_July22","L1_0.45_Feb23",2022-07-21,2023-02-21,215,0,1,0.63265306122449,"Total (SOR)"
"L1","L1_0.45_July22","L1_0.45_March23",2022-07-21,2023-03-28,250,0,1,0.551020408163265,"Total (SOR)"
"L1","L1_0.45_July22","L1_0.45_Apr23",2022-07-21,2023-05-03,286,0,1,0.552631578947368,"Total (SOR)"
"L1","L1_0.45_Aug22","L1_0.45_Sept22",2022-08-18,2022-09-22,35,0,1,0.479166666666667,"Total (SOR)"
"L1","L1_0.45_Aug22","L1_0.45_Oct22",2022-08-18,2022-10-21,64,0,1,0.545454545454545,"Total (SOR)"
"L1","L1_0.45_Aug22","L1_0.45_Nov22",2022-08-18,2022-11-18,92,0,1,0.625,"Total (SOR)"
"L1","L1_0.45_Aug22","L1_0.45_Dec22",2022-08-18,2022-12-15,119,0,1,0.670886075949367,"Total (SOR)"
"L1","L1_0.45_Aug22","L1_0.45_Janv23",2022-08-18,2023-01-25,160,0,1,0.697674418604651,"Total (SOR)"
"L1","L1_0.45_Aug22","L1_0.45_Feb23",2022-08-18,2023-02-21,187,0,1,0.723404255319149,"Total (SOR)"
"L1","L1_0.45_Aug22","L1_0.45_March23",2022-08-18,2023-03-28,222,0,1,0.702127659574468,"Total (SOR)"
