"number","Samples_ID","Collection_month","Year_collection","Collection_date","Block_ID","Lake_ID","filter_pore_size","Bological_Replicates","UTC","Hour_Collection_start","Hour_Collection_end","L_F","L_M","L_SC","L_SL","L_tot_filtered","Treatment","Sampling_type","Pompe","expe","Comments_field","Transfer_date","Extraction_date","date_env_data","temperature","do_percent","do_mg_l","ph","conductivity","turbidity","chlorophyll_rfu","chlorophyll_ug_l"
1,"T1_0.1_blue_March22","March22",2022,"23.03.2022","B2","L5",0.1,"blue","summer","12:30:00","13:45:00",NA,NA,NA,NA,"8","P","Daily","triple","JG_GL","test_water collection",NA,NA,2022-03-18,8.12366666666667,125.866666666667,14.85,8.89666666666667,177.266666666667,8.95666666666667,9.56,24.65
2,"T1_0.1_orange_March22","March22",2022,"23.03.2022","B2","L5",0.1,"orange ","summer","12:30:00","13:45:00",NA,NA,NA,NA,"7,5","P","Daily","triple","JG_GL","test_water collection",NA,NA,2022-03-18,8.12366666666667,125.866666666667,14.85,8.89666666666667,177.266666666667,8.95666666666667,9.56,24.65
3,"T1_0.1_red_March22","March22",2022,"23.03.2022","B2","L5",0.1,"red","summer","12:30:00","13:45:00",NA,NA,NA,NA,"8,2","P","Daily","triple","JG_GL","test_water collection",NA,NA,2022-03-18,8.12366666666667,125.866666666667,14.85,8.89666666666667,177.266666666667,8.95666666666667,9.56,24.65
4,"T1_0.45_blue_March22","March22",2022,"23.03.2022","B2","L5",0.45,"blue","summer","12:30:00","13:45:00",NA,NA,NA,NA,"8","P","Daily","triple","JG_GL","test_water collection",NA,NA,2022-03-18,8.12366666666667,125.866666666667,14.85,8.89666666666667,177.266666666667,8.95666666666667,9.56,24.65
5,"T1_0.45_orange_March22","March22",2022,"23.03.2022","B2","L5",0.45,"orange ","summer","12:30:00","13:45:00",NA,NA,NA,NA,"7,5","P","Daily","triple","JG_GL","test_water collection",NA,NA,2022-03-18,8.12366666666667,125.866666666667,14.85,8.89666666666667,177.266666666667,8.95666666666667,9.56,24.65
6,"T1_0.45_red_March22","March22",2022,"23.03.2022","B2","L5",0.45,"red","summer","12:30:00","13:45:00",NA,NA,NA,NA,"8,2","P","Daily","triple","JG_GL","test_water collection",NA,NA,2022-03-18,8.12366666666667,125.866666666667,14.85,8.89666666666667,177.266666666667,8.95666666666667,9.56,24.65
7,"T2_0.1_blue_March22","March22",2022,"23.03.2022","B2","L5",0.1,"blue","summer","16:30:00","17:45:00",NA,NA,NA,NA,"8,2","P","Daily","triple","JG_GL","test_water collection",NA,NA,2022-03-18,8.12366666666667,125.866666666667,14.85,8.89666666666667,177.266666666667,8.95666666666667,9.56,24.65
8,"T2_0.1_orange_March22","March22",2022,"23.03.2022","B2","L5",0.1,"orange ","summer","16:30:00","17:45:00",NA,NA,NA,NA,"6,8","P","Daily","triple","JG_GL","test_water collection",NA,NA,2022-03-18,8.12366666666667,125.866666666667,14.85,8.89666666666667,177.266666666667,8.95666666666667,9.56,24.65
9,"T2_0.1_red_March22","March22",2022,"23.03.2022","B2","L5",0.1,"red","summer","16:30:00","17:45:00",NA,NA,NA,NA,"7,4","P","Daily","triple","JG_GL","test_water collection",NA,NA,2022-03-18,8.12366666666667,125.866666666667,14.85,8.89666666666667,177.266666666667,8.95666666666667,9.56,24.65
10,"T2_0.45_blue_March22","March22",2022,"23.03.2022","B2","L5",0.45,"blue","summer","16:30:00","17:45:00",NA,NA,NA,NA,"8,2","P","Daily","triple","JG_GL","test_water collection",NA,NA,2022-03-18,8.12366666666667,125.866666666667,14.85,8.89666666666667,177.266666666667,8.95666666666667,9.56,24.65
11,"T2_0.45_orange_March22","March22",2022,"23.03.2022","B2","L5",0.45,"orange ","summer","16:30:00","17:45:00",NA,NA,NA,NA,"6,8","P","Daily","triple","JG_GL","test_water collection",NA,NA,2022-03-18,8.12366666666667,125.866666666667,14.85,8.89666666666667,177.266666666667,8.95666666666667,9.56,24.65
12,"T2_0.45_red_March22","March22",2022,"23.03.2022","B2","L5",0.45,"red","summer","16:30:00","17:45:00",NA,NA,NA,NA,"7,4","P","Daily","triple","JG_GL","test_water collection",NA,NA,2022-03-18,8.12366666666667,125.866666666667,14.85,8.89666666666667,177.266666666667,8.95666666666667,9.56,24.65
13,"T3_0.1_blue_March22","March22",2022,"23.03.2022","B2","L5",0.1,"blue","summer","20:30:00","21:45:00",NA,NA,NA,NA,"7,5","P","Daily","triple","JG_GL","test_water collection",NA,NA,2022-03-18,8.12366666666667,125.866666666667,14.85,8.89666666666667,177.266666666667,8.95666666666667,9.56,24.65
